id;Gender;Age;Driving_License;Region_Code;Previously_Insured;Vehicle_Age;Vehicle_Damage;Annual_Premium;Policy_Sales_Channel;Vintage
408711;Female;34;1;46.0;0;1-2 Year;Yes;29739;124.0;68
95788;Female;24;1;46.0;1;< 1 Year;No;22459;152.0;170
38980;Male;53;1;28.0;0;1-2 Year;Yes;50664;4.0;179
397108;Female;42;1;28.0;0;1-2 Year;Yes;34887;124.0;142
70021;Male;59;1;8.0;0;1-2 Year;Yes;32894;124.0;219
125375;Male;54;1;28.0;0;1-2 Year;Yes;36821;26.0;108
20293;Female;23;1;46.0;1;< 1 Year;No;21072;152.0;97
107824;Female;27;1;29.0;1;< 1 Year;No;30816;152.0;297
170130;Male;26;1;41.0;1;< 1 Year;No;30988;152.0;247
40607;Female;22;1;46.0;1;< 1 Year;No;37895;152.0;204
35399;Male;31;1;46.0;0;1-2 Year;Yes;29453;124.0;41
213556;Male;27;1;13.0;0;< 1 Year;Yes;29807;152.0;123
487215;Female;47;1;28.0;1;1-2 Year;No;24287;52.0;77
88870;Female;33;1;28.0;1;< 1 Year;No;44364;152.0;192
17317;Male;39;1;8.0;0;1-2 Year;Yes;27930;154.0;112
491014;Female;50;1;28.0;0;> 2 Years;Yes;54926;124.0;290
251993;Female;22;1;23.0;0;< 1 Year;Yes;22794;152.0;81
47465;Male;25;1;36.0;1;< 1 Year;No;32813;152.0;106
435709;Female;45;1;29.0;0;1-2 Year;Yes;28003;154.0;73
202013;Female;34;1;47.0;1;1-2 Year;No;20219;152.0;236
265624;Male;53;1;28.0;0;1-2 Year;Yes;36235;26.0;192
251009;Male;65;1;28.0;1;1-2 Year;No;57205;26.0;238
77902;Female;22;1;46.0;1;< 1 Year;No;38620;152.0;151
331274;Male;46;1;8.0;0;1-2 Year;Yes;32327;124.0;17
48944;Male;57;1;28.0;0;1-2 Year;Yes;53497;26.0;174
250779;Female;24;1;9.0;1;< 1 Year;No;38441;152.0;284
447089;Male;25;1;30.0;1;< 1 Year;No;33660;152.0;28
375597;Male;24;1;8.0;1;< 1 Year;No;33565;152.0;48
432875;Male;24;1;8.0;1;< 1 Year;No;47207;152.0;279
282937;Female;25;1;35.0;1;< 1 Year;No;37511;152.0;238
268618;Male;46;1;41.0;0;1-2 Year;Yes;30550;124.0;170
182307;Male;22;1;49.0;1;< 1 Year;No;37823;152.0;82
243458;Male;53;1;28.0;0;1-2 Year;Yes;42329;26.0;85
213061;Male;40;1;8.0;0;1-2 Year;Yes;39867;7.0;49
335580;Male;37;1;8.0;0;1-2 Year;Yes;49663;124.0;294
10883;Male;53;1;46.0;1;1-2 Year;No;30209;124.0;165
192776;Male;24;1;6.0;1;< 1 Year;No;26006;152.0;94
319944;Female;25;1;14.0;1;< 1 Year;No;24615;152.0;201
470565;Male;25;1;28.0;1;< 1 Year;No;37403;152.0;159
362512;Male;35;1;11.0;0;1-2 Year;Yes;38467;163.0;227
3287;Female;39;1;50.0;1;1-2 Year;No;24619;124.0;278
219801;Male;34;1;28.0;0;1-2 Year;Yes;40891;124.0;47
88750;Male;25;1;47.0;0;< 1 Year;Yes;24418;152.0;258
43171;Female;60;1;46.0;0;1-2 Year;Yes;42978;26.0;83
11493;Male;45;1;28.0;0;1-2 Year;Yes;40898;26.0;101
343694;Female;28;1;30.0;1;< 1 Year;No;22692;152.0;154
230793;Male;52;1;8.0;0;> 2 Years;Yes;53462;155.0;212
455033;Male;32;1;41.0;1;1-2 Year;No;30199;124.0;259
67185;Female;63;1;15.0;0;1-2 Year;Yes;38466;26.0;129
4522;Male;35;1;41.0;0;1-2 Year;Yes;42783;124.0;31
49962;Female;22;1;16.0;0;< 1 Year;Yes;36871;152.0;234
245251;Male;78;1;28.0;0;1-2 Year;Yes;26623;52.0;112
327457;Female;77;1;28.0;0;1-2 Year;Yes;36868;124.0;259
7232;Female;24;1;28.0;0;< 1 Year;Yes;38323;26.0;59
16965;Female;23;1;30.0;1;< 1 Year;No;28260;152.0;226
161570;Male;31;1;21.0;1;< 1 Year;No;47117;152.0;43
137998;Female;26;1;36.0;1;< 1 Year;No;39102;152.0;78
459975;Female;23;1;46.0;1;< 1 Year;No;23553;152.0;160
288576;Female;45;1;28.0;0;1-2 Year;Yes;33801;124.0;172
353420;Male;33;1;28.0;0;< 1 Year;No;28867;152.0;242
136646;Female;29;1;41.0;0;1-2 Year;Yes;29356;124.0;294
455621;Male;52;1;28.0;1;1-2 Year;No;64378;26.0;135
284376;Male;59;1;46.0;0;1-2 Year;No;36466;26.0;72
314871;Male;42;1;28.0;0;1-2 Year;Yes;25271;154.0;251
273225;Male;51;1;28.0;0;> 2 Years;Yes;38105;26.0;107
431864;Male;24;1;50.0;1;< 1 Year;No;35750;152.0;59
281843;Male;49;1;6.0;0;1-2 Year;Yes;31907;124.0;261
366355;Female;21;1;12.0;0;< 1 Year;Yes;25848;152.0;111
299639;Female;25;1;41.0;1;< 1 Year;Yes;25011;152.0;102
237561;Male;25;1;36.0;1;< 1 Year;No;27565;152.0;212
450146;Male;45;1;28.0;1;1-2 Year;No;39929;26.0;198
182009;Female;23;1;30.0;1;< 1 Year;No;26689;152.0;83
493120;Female;51;1;28.0;0;> 2 Years;Yes;63225;26.0;289
168568;Female;25;1;25.0;1;< 1 Year;No;28277;152.0;228
191728;Male;29;1;21.0;1;< 1 Year;No;32732;152.0;132
13816;Male;49;1;28.0;0;1-2 Year;Yes;23950;26.0;283
97294;Female;71;1;15.0;1;1-2 Year;No;28408;152.0;74
226875;Female;40;1;4.0;1;1-2 Year;No;36277;152.0;213
315602;Male;37;1;3.0;0;1-2 Year;Yes;34655;124.0;59
164530;Male;36;1;24.0;1;1-2 Year;Yes;37439;124.0;39
200412;Female;60;1;3.0;1;1-2 Year;No;21479;124.0;64
233858;Female;24;1;39.0;0;< 1 Year;Yes;33788;26.0;241
432725;Female;22;1;8.0;1;< 1 Year;No;46059;152.0;167
362602;Male;50;1;28.0;0;1-2 Year;Yes;39644;26.0;100
168001;Female;22;1;44.0;1;< 1 Year;No;41319;152.0;206
294207;Male;39;1;28.0;0;1-2 Year;Yes;35026;26.0;95
130036;Male;52;1;28.0;0;1-2 Year;Yes;31141;26.0;140
225575;Male;52;1;39.0;0;1-2 Year;Yes;30288;26.0;109
284771;Male;46;1;28.0;0;1-2 Year;Yes;39454;124.0;133
261735;Male;23;1;8.0;1;< 1 Year;No;44091;152.0;210
262716;Female;45;1;28.0;0;1-2 Year;Yes;47715;26.0;123
186508;Male;20;1;28.0;0;1-2 Year;Yes;58400;26.0;57
259326;Male;63;1;39.0;1;1-2 Year;No;43608;26.0;242
77804;Female;62;1;8.0;1;1-2 Year;No;50119;124.0;101
148958;Female;22;1;43.0;1;< 1 Year;No;28869;152.0;91
199757;Female;23;1;50.0;0;< 1 Year;Yes;33012;152.0;157
25600;Female;21;1;17.0;1;< 1 Year;No;34832;152.0;155
18180;Female;37;1;8.0;1;1-2 Year;No;30476;124.0;207
154871;Female;21;1;8.0;1;< 1 Year;No;24719;160.0;243
484427;Male;49;1;28.0;0;1-2 Year;Yes;25332;26.0;47
338138;Female;23;1;28.0;0;1-2 Year;Yes;31588;124.0;79
410505;Male;40;1;45.0;0;1-2 Year;Yes;32098;124.0;46
313247;Male;50;1;46.0;0;1-2 Year;Yes;28651;26.0;279
293663;Male;63;1;28.0;1;1-2 Year;No;74660;26.0;252
367129;Male;22;1;46.0;1;< 1 Year;No;29570;152.0;272
351409;Female;29;1;2.0;1;< 1 Year;No;18669;152.0;220
180519;Male;46;1;41.0;1;1-2 Year;No;47798;12.0;118
85849;Female;22;1;15.0;0;< 1 Year;Yes;26878;152.0;196
147522;Female;46;1;8.0;0;1-2 Year;Yes;46051;124.0;48
5945;Male;25;1;36.0;0;< 1 Year;Yes;39230;152.0;117
99863;Female;25;1;9.0;1;< 1 Year;No;26493;160.0;74
19819;Male;39;1;28.0;0;1-2 Year;Yes;29269;26.0;240
180653;Female;24;1;8.0;1;< 1 Year;No;49837;152.0;101
58950;Male;67;1;28.0;0;> 2 Years;Yes;35845;26.0;283
191141;Male;45;1;8.0;0;1-2 Year;No;35016;26.0;136
475066;Female;23;1;41.0;1;< 1 Year;No;27445;152.0;125
224237;Male;46;1;33.0;1;1-2 Year;No;26177;52.0;295
314561;Female;63;1;28.0;0;1-2 Year;Yes;29113;122.0;16
267060;Male;50;1;30.0;0;1-2 Year;Yes;38672;124.0;95
219539;Male;24;1;6.0;1;< 1 Year;No;49007;152.0;30
177115;Male;50;1;46.0;1;1-2 Year;No;21479;26.0;276
436192;Female;45;1;13.0;1;1-2 Year;No;27208;124.0;168
34341;Male;46;1;28.0;1;1-2 Year;Yes;35692;26.0;192
225764;Male;52;1;28.0;1;1-2 Year;No;50480;124.0;88
216150;Female;23;1;33.0;1;< 1 Year;No;31340;152.0;26
408485;Male;29;1;41.0;1;< 1 Year;No;23972;152.0;269
168088;Male;26;1;29.0;1;< 1 Year;No;29660;152.0;143
174219;Male;26;1;28.0;0;1-2 Year;Yes;41585;124.0;221
12813;Female;21;1;43.0;1;< 1 Year;Yes;44590;160.0;173
454741;Female;67;1;29.0;1;1-2 Year;No;37979;124.0;14
29076;Male;25;1;25.0;0;< 1 Year;No;42268;152.0;39
68898;Female;20;1;46.0;0;< 1 Year;No;25316;160.0;87
68850;Male;57;1;50.0;0;1-2 Year;Yes;27100;8.0;32
506129;Female;57;1;28.0;0;1-2 Year;Yes;22544;26.0;278
318681;Female;26;1;15.0;0;< 1 Year;No;38504;152.0;100
327674;Female;28;1;30.0;1;< 1 Year;No;29486;152.0;32
264276;Male;26;1;27.0;0;< 1 Year;Yes;28604;152.0;272
411187;Female;30;1;18.0;1;< 1 Year;No;24068;152.0;249
212630;Male;57;1;46.0;0;1-2 Year;Yes;30896;26.0;201
336095;Male;46;1;28.0;1;1-2 Year;No;39315;147.0;212
504454;Female;46;1;28.0;0;1-2 Year;Yes;54344;26.0;135
98876;Male;38;1;28.0;1;1-2 Year;No;29653;26.0;75
274569;Male;22;1;33.0;1;< 1 Year;No;35071;152.0;290
169081;Female;27;1;34.0;1;< 1 Year;No;34388;124.0;291
17729;Female;47;1;28.0;1;1-2 Year;No;34104;124.0;18
287619;Male;48;1;8.0;0;1-2 Year;Yes;50784;124.0;118
282265;Male;58;1;8.0;0;1-2 Year;Yes;49021;26.0;241
320097;Female;21;1;15.0;1;< 1 Year;No;36897;160.0;279
308124;Male;24;1;8.0;0;< 1 Year;No;32724;157.0;174
301327;Male;52;1;8.0;0;1-2 Year;Yes;45691;124.0;260
222500;Female;24;1;8.0;1;< 1 Year;No;35518;152.0;155
290014;Male;32;1;8.0;0;< 1 Year;Yes;30834;152.0;140
179833;Male;22;1;35.0;1;< 1 Year;No;45097;160.0;212
11432;Male;21;1;8.0;0;< 1 Year;Yes;29373;152.0;269
45247;Male;52;1;28.0;0;> 2 Years;Yes;47046;26.0;76
230379;Male;49;1;23.0;0;1-2 Year;Yes;27409;124.0;128
27133;Female;29;1;41.0;1;< 1 Year;No;32905;152.0;134
286684;Male;53;1;45.0;1;1-2 Year;No;35123;124.0;93
470969;Female;22;1;41.0;1;< 1 Year;No;33908;152.0;223
63197;Male;44;1;8.0;0;1-2 Year;Yes;30990;26.0;268
105184;Female;45;1;28.0;0;1-2 Year;Yes;29617;26.0;30
403618;Male;67;1;28.0;1;1-2 Year;No;47926;26.0;185
191297;Female;21;1;12.0;1;< 1 Year;No;23959;152.0;43
77932;Female;23;1;28.0;1;< 1 Year;No;34263;152.0;80
379323;Male;24;1;29.0;1;< 1 Year;No;30876;152.0;14
492197;Male;21;1;33.0;1;< 1 Year;No;34028;152.0;137
456055;Male;26;1;29.0;1;< 1 Year;No;33705;152.0;102
119619;Female;51;1;26.0;0;1-2 Year;No;33744;124.0;221
448375;Female;23;1;25.0;1;< 1 Year;No;29713;152.0;269
329918;Male;41;1;28.0;1;1-2 Year;No;40842;125.0;118
171062;Female;24;1;28.0;0;< 1 Year;Yes;55805;152.0;80
360814;Female;48;1;8.0;0;1-2 Year;Yes;46603;154.0;101
47678;Male;25;1;3.0;0;< 1 Year;No;29003;152.0;14
470108;Male;48;1;8.0;0;> 2 Years;Yes;26102;26.0;174
105517;Male;23;1;46.0;1;< 1 Year;No;36540;152.0;37
347357;Male;22;1;46.0;1;< 1 Year;No;37691;152.0;241
193039;Male;24;1;25.0;0;< 1 Year;No;23574;152.0;283
115468;Male;43;1;50.0;0;1-2 Year;No;38024;124.0;189
307177;Female;55;1;8.0;0;1-2 Year;Yes;47402;7.0;124
350822;Female;65;1;28.0;1;1-2 Year;No;48205;26.0;230
158102;Female;48;1;28.0;0;1-2 Year;Yes;31795;26.0;145
15303;Female;43;1;19.0;0;1-2 Year;Yes;34826;122.0;161
358557;Male;24;1;8.0;1;< 1 Year;No;31285;152.0;96
9418;Female;41;1;10.0;0;1-2 Year;Yes;33657;152.0;41
456470;Female;42;1;41.0;1;1-2 Year;No;31418;12.0;221
297277;Female;52;1;33.0;0;> 2 Years;Yes;28672;124.0;211
286178;Male;37;1;28.0;0;1-2 Year;Yes;41714;124.0;163
144583;Male;46;1;35.0;0;1-2 Year;Yes;39813;26.0;57
82227;Male;40;1;46.0;1;1-2 Year;No;27327;124.0;72
74448;Male;41;1;28.0;1;1-2 Year;No;24590;124.0;263
266291;Male;33;1;27.0;1;1-2 Year;No;28223;26.0;268
218554;Male;41;1;46.0;1;1-2 Year;No;19559;156.0;124
17411;Male;26;1;8.0;1;< 1 Year;No;34541;152.0;230
70484;Female;25;1;46.0;1;< 1 Year;No;27135;152.0;283
231961;Female;49;1;30.0;1;1-2 Year;No;36490;26.0;208
194426;Male;42;1;28.0;0;1-2 Year;Yes;58385;124.0;265
220829;Female;51;1;41.0;0;1-2 Year;Yes;38471;10.0;23
68099;Male;45;1;41.0;0;1-2 Year;Yes;25887;124.0;284
28303;Male;28;1;6.0;0;< 1 Year;Yes;20969;152.0;273
24307;Female;50;1;30.0;0;1-2 Year;Yes;35887;160.0;252
499786;Female;22;1;8.0;1;< 1 Year;No;35824;152.0;109
242553;Female;23;1;13.0;0;< 1 Year;No;23038;151.0;224
131000;Female;27;1;28.0;0;1-2 Year;Yes;38098;122.0;67
122677;Female;24;1;47.0;1;< 1 Year;No;35113;152.0;70
493430;Female;24;1;28.0;1;< 1 Year;No;29842;152.0;24
100828;Male;53;1;36.0;0;1-2 Year;No;54203;26.0;76
318374;Male;44;1;18.0;0;> 2 Years;Yes;20242;124.0;222
284598;Male;24;1;49.0;0;< 1 Year;Yes;24357;151.0;241
174776;Male;31;1;11.0;0;1-2 Year;Yes;30053;124.0;122
132004;Male;72;1;46.0;1;1-2 Year;No;37626;26.0;265
55534;Male;44;1;26.0;0;1-2 Year;Yes;34635;22.0;281
35906;Female;49;1;33.0;0;1-2 Year;Yes;24741;124.0;244
142631;Male;43;1;36.0;0;1-2 Year;Yes;35416;124.0;64
365078;Female;21;1;9.0;0;< 1 Year;Yes;37699;160.0;295
88671;Male;46;1;8.0;0;1-2 Year;Yes;33894;26.0;166
94331;Female;21;1;26.0;0;< 1 Year;Yes;24188;152.0;247
406985;Male;68;1;8.0;1;1-2 Year;No;33871;19.0;63
149604;Female;53;1;28.0;0;1-2 Year;Yes;45655;26.0;52
228896;Female;41;1;33.0;0;1-2 Year;Yes;31219;122.0;32
435071;Male;23;1;30.0;1;< 1 Year;No;24548;152.0;29
448784;Female;33;1;8.0;0;< 1 Year;Yes;38824;124.0;81
410557;Female;32;1;8.0;0;1-2 Year;Yes;44864;124.0;230
87372;Male;59;1;28.0;0;> 2 Years;Yes;32971;26.0;75
74634;Female;46;1;28.0;0;1-2 Year;Yes;56644;55.0;158
280301;Female;23;1;50.0;1;< 1 Year;No;25890;152.0;232
25782;Female;26;1;8.0;1;< 1 Year;No;28221;152.0;109
347635;Male;45;1;45.0;1;1-2 Year;No;34054;124.0;228
9058;Male;27;1;37.0;1;< 1 Year;No;28827;152.0;211
75869;Female;77;1;28.0;1;1-2 Year;No;47506;124.0;112
90940;Male;24;1;6.0;0;< 1 Year;No;31449;152.0;66
4793;Female;45;1;28.0;0;1-2 Year;Yes;39944;122.0;294
95272;Male;56;1;30.0;0;1-2 Year;Yes;36844;124.0;118
422437;Male;31;1;28.0;0;< 1 Year;Yes;43182;124.0;87
150614;Female;70;1;8.0;1;1-2 Year;No;28861;124.0;259
219987;Male;31;1;8.0;1;< 1 Year;No;53337;152.0;235
323119;Male;43;1;3.0;0;1-2 Year;Yes;25842;154.0;245
107498;Female;45;1;50.0;1;1-2 Year;No;28753;8.0;299
451527;Female;25;1;3.0;1;< 1 Year;No;24810;152.0;124
106569;Male;49;1;8.0;1;1-2 Year;No;36026;124.0;220
161375;Male;22;1;11.0;0;< 1 Year;Yes;27379;152.0;43
43764;Male;59;1;28.0;0;> 2 Years;Yes;33440;26.0;289
294597;Female;29;1;36.0;1;< 1 Year;No;28433;152.0;103
346668;Male;37;1;28.0;0;1-2 Year;Yes;46386;124.0;256
136990;Male;45;1;28.0;0;1-2 Year;Yes;49288;26.0;159
186662;Female;25;1;22.0;1;< 1 Year;No;27045;152.0;37
436151;Female;42;1;28.0;0;1-2 Year;Yes;33750;26.0;21
59887;Male;76;1;28.0;0;1-2 Year;Yes;53017;122.0;117
425840;Female;24;1;2.0;1;< 1 Year;No;19839;151.0;160
106145;Female;25;1;41.0;1;< 1 Year;No;32368;152.0;14
165383;Male;25;1;8.0;1;< 1 Year;No;35929;152.0;211
493170;Female;35;1;41.0;1;1-2 Year;No;34746;153.0;200
219301;Male;29;1;28.0;0;< 1 Year;Yes;42131;152.0;172
132236;Female;22;1;5.0;1;< 1 Year;No;30911;152.0;237
187949;Male;68;1;28.0;0;1-2 Year;Yes;34837;124.0;253
477061;Female;23;1;46.0;1;< 1 Year;No;30824;152.0;190
321149;Female;22;1;29.0;1;< 1 Year;No;38712;152.0;166
284970;Male;39;1;3.0;0;1-2 Year;Yes;17754;124.0;250
320031;Male;31;1;15.0;1;< 1 Year;No;43323;124.0;177
86479;Female;41;1;28.0;0;1-2 Year;Yes;56290;26.0;200
380849;Male;59;1;28.0;1;1-2 Year;No;36342;124.0;172
118698;Female;27;1;30.0;1;< 1 Year;No;30098;152.0;205
250905;Female;52;1;6.0;1;1-2 Year;No;26290;30.0;263
350104;Male;27;1;41.0;1;< 1 Year;No;13571;152.0;259
146842;Male;57;1;33.0;1;1-2 Year;No;35362;26.0;39
442411;Male;41;1;8.0;0;1-2 Year;Yes;38107;157.0;154
297928;Female;72;1;28.0;1;1-2 Year;No;38770;26.0;206
358088;Female;48;1;8.0;0;1-2 Year;Yes;37172;19.0;179
239886;Female;29;1;2.0;1;< 1 Year;No;25958;152.0;262
69040;Male;28;1;28.0;0;< 1 Year;Yes;24297;152.0;127
194187;Male;52;1;28.0;0;1-2 Year;Yes;35235;61.0;249
29873;Male;35;1;46.0;1;1-2 Year;No;17599;152.0;190
263632;Male;30;1;3.0;1;< 1 Year;Yes;26442;152.0;270
50287;Male;25;1;43.0;1;< 1 Year;No;38683;152.0;90
375577;Female;23;1;3.0;1;< 1 Year;Yes;38019;151.0;254
340837;Female;62;1;47.0;1;1-2 Year;No;32163;124.0;194
213442;Male;79;1;46.0;0;1-2 Year;No;28889;21.0;157
209177;Female;28;1;30.0;1;< 1 Year;No;23779;152.0;67
189719;Female;24;1;9.0;0;< 1 Year;No;43696;152.0;242
189537;Male;22;1;30.0;1;< 1 Year;No;34957;152.0;135
57505;Male;27;1;28.0;1;< 1 Year;No;34430;152.0;27
176706;Male;26;1;16.0;0;< 1 Year;Yes;26425;26.0;244
353927;Male;54;1;28.0;0;1-2 Year;Yes;48808;124.0;83
238712;Male;26;1;9.0;1;< 1 Year;No;36995;152.0;210
81414;Male;35;1;45.0;0;1-2 Year;Yes;24576;154.0;155
178658;Male;22;1;3.0;1;< 1 Year;No;19728;152.0;193
41174;Male;42;1;50.0;0;> 2 Years;Yes;39172;25.0;12
90957;Male;33;1;28.0;0;1-2 Year;Yes;34900;157.0;125
281584;Male;47;1;29.0;0;1-2 Year;Yes;26873;26.0;168
49150;Female;21;1;8.0;0;< 1 Year;Yes;44354;160.0;192
291641;Male;68;1;37.0;0;1-2 Year;Yes;22905;3.0;131
355174;Female;39;1;28.0;0;1-2 Year;No;32603;122.0;263
99417;Male;24;1;8.0;1;< 1 Year;No;34706;152.0;144
145212;Male;46;1;28.0;1;1-2 Year;No;29454;124.0;213
173509;Female;40;1;28.0;0;1-2 Year;Yes;42711;13.0;22
110595;Male;25;1;17.0;1;< 1 Year;No;32110;152.0;115
211162;Male;39;1;50.0;1;1-2 Year;No;31475;124.0;238
20551;Male;64;1;8.0;0;1-2 Year;Yes;43834;7.0;213
149593;Male;62;1;28.0;1;1-2 Year;No;53063;124.0;147
178082;Female;23;1;8.0;1;< 1 Year;No;31016;26.0;119
475878;Female;40;1;28.0;0;1-2 Year;Yes;70452;59.0;163
354910;Male;23;1;15.0;0;< 1 Year;Yes;31730;152.0;259
200196;Female;33;1;28.0;0;< 1 Year;Yes;33955;124.0;244
81648;Female;44;1;19.0;1;1-2 Year;No;31826;124.0;92
106644;Male;26;1;2.0;1;< 1 Year;No;27121;152.0;53
87765;Male;28;1;49.0;0;1-2 Year;No;34463;157.0;207
389544;Male;69;1;28.0;1;1-2 Year;No;26499;13.0;170
430266;Female;22;1;25.0;1;< 1 Year;No;26193;152.0;193
64588;Female;45;1;47.0;0;1-2 Year;Yes;28217;124.0;98
396301;Female;47;1;28.0;0;1-2 Year;Yes;31862;124.0;254
317826;Female;65;1;29.0;1;1-2 Year;No;42052;124.0;33
399305;Male;44;1;28.0;0;1-2 Year;Yes;31120;124.0;18
323314;Male;33;1;28.0;0;< 1 Year;Yes;51041;124.0;136
206632;Female;65;1;28.0;1;1-2 Year;No;51156;122.0;225
323864;Male;27;1;28.0;1;< 1 Year;No;44802;152.0;82
159016;Male;52;1;28.0;0;1-2 Year;Yes;54167;26.0;105
12570;Male;27;1;27.0;1;< 1 Year;No;30057;152.0;255
280707;Male;28;1;21.0;1;< 1 Year;No;29976;152.0;187
344763;Female;21;1;30.0;1;< 1 Year;No;34784;152.0;81
400271;Male;53;1;8.0;0;1-2 Year;Yes;47824;26.0;52
58809;Male;22;1;41.0;1;< 1 Year;No;26659;152.0;76
434881;Female;27;1;18.0;1;< 1 Year;No;30247;152.0;239
418831;Female;43;1;28.0;0;1-2 Year;Yes;31571;26.0;287
382595;Male;54;1;46.0;0;< 1 Year;Yes;29342;124.0;163
312737;Male;36;1;39.0;0;1-2 Year;Yes;28325;124.0;120
72612;Female;68;1;28.0;0;1-2 Year;Yes;26320;26.0;147
37275;Male;22;1;3.0;1;< 1 Year;No;25208;152.0;213
116597;Female;23;1;41.0;0;< 1 Year;Yes;46062;152.0;169
221681;Male;56;1;28.0;0;1-2 Year;Yes;45698;26.0;68
486776;Male;23;1;33.0;1;< 1 Year;No;26795;152.0;243
401918;Female;66;1;42.0;1;1-2 Year;No;33740;124.0;212
373018;Male;40;1;32.0;1;1-2 Year;No;18787;124.0;51
193411;Female;48;1;18.0;1;1-2 Year;No;26307;29.0;255
319784;Male;79;1;45.0;0;1-2 Year;Yes;28489;124.0;122
180843;Female;28;1;41.0;1;< 1 Year;No;36107;152.0;82
379845;Female;21;1;30.0;1;< 1 Year;No;24696;152.0;260
101404;Male;51;1;28.0;0;1-2 Year;Yes;37267;26.0;48
413463;Male;29;1;8.0;1;< 1 Year;No;48215;152.0;171
109468;Female;55;1;24.0;0;1-2 Year;Yes;24359;124.0;115
431634;Female;45;1;33.0;0;1-2 Year;Yes;31614;124.0;74
378948;Male;54;1;28.0;1;1-2 Year;Yes;34854;26.0;29
287865;Female;26;1;9.0;1;< 1 Year;No;32908;152.0;265
129696;Male;51;1;12.0;0;1-2 Year;Yes;19042;124.0;144
178168;Female;53;1;30.0;0;1-2 Year;Yes;47683;26.0;178
5405;Male;23;1;11.0;1;< 1 Year;No;27632;152.0;119
128900;Female;25;1;29.0;1;< 1 Year;No;36516;152.0;272
485938;Female;22;1;30.0;1;< 1 Year;No;25617;152.0;190
491701;Female;40;1;26.0;1;1-2 Year;No;37546;30.0;150
503909;Female;27;1;36.0;1;< 1 Year;No;34855;152.0;280
